x,y,value,group,label,facet,source,target,weight,lower,upper
40.3,13.4,13.4,,item_173,,40.3,13.4,13.4,-67.20307080516667,94.00307080516669
5.2,1.9,1.9,,item_174,,5.2,1.9,1.9,-78.70307080516667,82.50307080516669
3.1,13.7,13.7,,item_175,,3.1,13.7,13.7,-66.90307080516668,94.30307080516668
31.5,28.6,28.6,,item_176,,31.5,28.6,28.6,-52.00307080516668,109.20307080516667
8.1,0.6,0.6,,item_177,,8.1,0.6,0.6,-80.00307080516669,81.20307080516667
27.3,31.0,31.0,,item_178,,27.3,31.0,31.0,-49.60307080516668,111.60307080516668
43.4,38.7,38.7,,item_179,,43.4,38.7,38.7,-41.90307080516668,119.30307080516668
179.3,180.4,180.4,,item_180,,179.3,180.4,180.4,99.79692919483333,261.00307080516666
46.3,43.6,43.6,,item_181,,46.3,43.6,43.6,-37.00307080516668,124.20307080516667
37.4,18.3,18.3,,item_182,,37.4,18.3,18.3,-62.30307080516668,98.90307080516668
196.8,54.0,54.0,,item_183,,196.8,54.0,54.0,-26.60307080516668,134.60307080516668
2.5,4.8,4.8,,item_184,,2.5,4.8,4.8,-75.80307080516668,85.40307080516668
9.6,15.4,15.4,,item_185,,9.6,15.4,15.4,-65.20307080516667,96.00307080516669
37.0,106.4,106.4,,item_186,,37.0,106.4,106.4,25.796929194833325,187.0030708051667
159.5,103.7,103.7,,item_187,,159.5,103.7,103.7,23.096929194833322,184.30307080516667
3.9,12.2,12.2,,item_188,,3.9,12.2,12.2,-68.40307080516668,92.80307080516668
11.4,3.8,3.8,,item_189,,11.4,3.8,3.8,-76.80307080516668,84.40307080516668
25.4,31.7,31.7,,item_190,,25.4,31.7,31.7,-48.90307080516668,112.30307080516668
36.8,48.0,48.0,,item_191,,36.8,48.0,48.0,-32.60307080516668,128.60307080516668
2.8,0.9,0.9,,item_192,,2.8,0.9,0.9,-79.70307080516667,81.50307080516669
19.1,12.0,12.0,,item_193,,19.1,12.0,12.0,-68.60307080516668,92.60307080516668
10.3,4.6,4.6,,item_194,,10.3,4.6,4.6,-76.00307080516669,85.20307080516667
23.1,25.6,25.6,,item_195,,23.1,25.6,25.6,-55.00307080516668,106.20307080516667
462.3,875.5,875.5,,item_196,,462.3,875.5,875.5,794.8969291948333,956.1030708051667
15.7,10.1,10.1,,item_197,,15.7,10.1,10.1,-70.50307080516669,90.70307080516667
41.7,43.9,43.9,,item_198,,41.7,43.9,43.9,-36.70307080516668,124.50307080516669
10.9,7.8,7.8,,item_199,,10.9,7.8,7.8,-72.80307080516668,88.40307080516668
11.0,16.7,16.7,,item_200,,11.0,16.7,16.7,-63.90307080516668,97.30307080516668
89.4,47.8,47.8,,item_201,,89.4,47.8,47.8,-32.80307080516668,128.4030708051667
0.3,0.1,0.1,,item_202,,0.3,0.1,0.1,-80.50307080516669,80.70307080516667
19.6,8.9,8.9,,item_203,,19.6,8.9,8.9,-71.70307080516667,89.50307080516669
22.0,20.0,20.0,,item_204,,22.0,20.0,20.0,-60.60307080516668,100.60307080516668
36.9,40.5,40.5,,item_205,,36.9,40.5,40.5,-40.10307080516668,121.10307080516668
2.3,0.5,0.5,,item_206,,2.3,0.5,0.5,-80.10307080516668,81.10307080516668
86.8,179.0,179.0,,item_207,,86.8,179.0,179.0,98.39692919483332,259.6030708051667
8.6,19.9,19.9,,item_208,,8.6,19.9,19.9,-60.70307080516668,100.50307080516669
40.1,37.4,37.4,,item_209,,40.1,37.4,37.4,-43.20307080516668,118.00307080516669
19.4,17.8,17.8,,item_210,,19.4,17.8,17.8,-62.80307080516668,98.40307080516668
58.1,103.0,103.0,,item_211,,58.1,103.0,103.0,22.39692919483332,183.60307080516668
0.3,0.0,0.0,,item_212,,0.3,0.0,0.0,-80.60307080516668,80.60307080516668
95.3,78.9,78.9,,item_213,,95.3,78.9,78.9,-1.703070805166675,159.5030708051667
180.0,41.9,41.9,,item_214,,180.0,41.9,41.9,-38.70307080516668,122.50307080516669
26.9,19.2,19.2,,item_215,,26.9,19.2,19.2,-61.40307080516668,99.80307080516668
2.2,0.7,0.7,,item_216,,2.2,0.7,0.7,-79.90307080516668,81.30307080516668
20.4,8.6,8.6,,item_217,,20.4,8.6,8.6,-72.00307080516669,89.20307080516667
3.1,0.2,0.2,,item_218,,3.1,0.2,0.2,-80.40307080516668,80.80307080516668
0.9,1.9,1.9,,item_219,,0.9,1.9,1.9,-78.70307080516667,82.50307080516669
12.2,6.1,6.1,,item_220,,12.2,6.1,6.1,-74.50307080516669,86.70307080516667
11.0,3.7,3.7,,item_221,,11.0,3.7,3.7,-76.90307080516668,84.30307080516668
30.1,43.2,43.2,,item_222,,30.1,43.2,43.2,-37.40307080516668,123.80307080516668
44.1,39.6,39.6,,item_223,,44.1,39.6,39.6,-41.00307080516668,120.20307080516667
31.2,17.0,17.0,,item_224,,31.2,17.0,17.0,-63.60307080516668,97.60307080516668
17.4,5.1,5.1,,item_225,,17.4,5.1,5.1,-75.50307080516669,85.70307080516667
65.8,55.9,55.9,,item_226,,65.8,55.9,55.9,-24.703070805166682,136.5030708051667
5.8,1.8,1.8,,item_227,,5.8,1.8,1.8,-78.80307080516668,82.40307080516668
49.0,31.4,31.4,,item_228,,49.0,31.4,31.4,-49.20307080516668,112.00307080516669
6.9,5.6,5.6,,item_229,,6.9,5.6,5.6,-75.00307080516669,86.20307080516667
9.2,4.8,4.8,,item_230,,9.2,4.8,4.8,-75.80307080516668,85.40307080516668
23.8,23.6,23.6,,item_231,,23.8,23.6,23.6,-57.00307080516668,104.20307080516667
6.0,8.7,8.7,,item_232,,6.0,8.7,8.7,-71.90307080516668,89.30307080516668
0.0,0.0,0.0,,item_233,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
